inputs,outputs
"what day is my meeting?  your meeting is meeting#date at 7 pm.  who is attending? you are attending the meeting with meeting#party.  thank you! you're welcome. don't forget it's in meeting#room, and you will be discussing dress code! okay and you said at dinner#time? got it!",will there be anything else?
"car i need a pizza restaurant to satisfy my hunger: is there any in the area? there is only 1 pizza restaurant in your area, pizza_restaurant#poi, would you like me to pull up the route? send me the address then set the quickest route on my gps navigation system. pizza_restaurant#poi is at 915 arbol dr and the gps is set.  please pick a quick route to go there","i sent on your screen the best route available, drive carefully!"
"give me directions to the closest grocery store we're Safeway#distance away from safeway but there is heavy traffic in this moment: do i set the gps to go there? pick a quick route and let's go there, thank you car!",navigating to grocery_store#poi.
info about meeting.,your meeting is on meeting#date at 6 pm with the executive team. you will be having it in conference room 102 and the agenda is to discuss the dress code.
where can i find a rest stop? the rest_stop#poi is close. what is the address? rest_stop#poi is at 578 arbol dr. ok program the fastest route please.,gps set to rest_stop#poi at 578 arbol dr.
find out the temperature in alhambra on san_mateo#tuesday this san_mateo#tuesday in alhambra the temperature will be a low of 20f and a high of 30f thanks.,you're welcome.
will it rain anytime in the next week where would you like me to check to see if it will be raining during the week? check compton for me.,it will rain on compton#thursday in compton.
"can you give me directions to the nearest starbucks i do not have a starbucks nearby, but there is a philz coffee and tea place Philz#distance away, would you like more information? yes, please, check if there is a route with no traffic and send me its address on the screen unfortunately philzis the only coffee or tea place that i can find. it is located at 583 alester ave, there is Philz#traffic_info on this route that's ok, thanks for providing directions.",you're very welcome!
i need a route to my friends that avoids tai_pan#traffic_info.  we're jacks_house#distance away from jack's house but there is a car collision nearby: are you sure you want to go there today? yes i need to get there. what's the address?,friends_house#poi is at 864 almanor ln.
give me the 7 day weather forecast,what city do you want the weather for?
"hi car, help me find out the location, parties attending, and time for my meeting, please.  the location of your meeting is in conference room 100 with your meeting#party at 4pm.  great, thanks",happy to help
i'm desiring to eat at some chinese restaurant: is there any in the area?,there are mandarin roots 5 miles away and jing jing Teavana#distance away: which one would you like to try?
"what is the date, time, and agenda for my next conference?  your conference is on conference#date at 6 pm to onboard new members. thank you.",you are welcome.
where can i find a hospital?,one hospital is located locally at 214 el camino real. there is a Stanford_Express_Care#traffic_info. do you still want to go?
"look for parking the nearest parking is palo alto garage, about Palo_Alto_Garage_R#distance from you. the address is 481 amaranta avenue. would you like directions? yes, please, send on my screen a route with no traffic to reach there! there is a car collision on route. is there a quickest route to reach? i sent on your map the best route, drive carefully! thanks",you're welcome; drive carefully.
take me home,"we're 6 miles away from home and there is 5677_southwest_4th_street#traffic_info, i sent on screen an alternative route to reach a little quicker"
give me a quick route to a grocery store willows market is Willows_Market#distance away at 409 bollard st but a road block is nearby.  is there another grocery store nearby on a quick route? if not please give me directions to willow market.,i'm afraid that's the only grocery store in the area. setting navigation now.
set a reminder for a swimming activity at 7 pm wednesday with my sister.,"okay, setting a reminder for a swimming activity with your sister for wednesday at 7pm."
show me the route to coffee shop we are Teavana#distance away from teavana: would you like me to send you its address on screen? is it the quickest to get to from my current location?,yes teavana is the only place close to you at Teavana#distance away located at 145 amherst st. do you want me to set the gps?
what's the forecast in brentwood for carson#sunday? carson#sunday in brentwood is the weather should be rainy with a low of 60f and high of 70f thank you car!,you're welcome
will it be raining in the next 7 days,what city are you asking about?
im looking for a shopping mall around here. the topanga mall is Topanga_Mall#distance away. what is the address?,the address to shopping_center#poi is 171 oak rd.
where does my friend live?,jack or jill?
what time do i need to take medicine and who will be helping me?,"which one? i have two, one at 11 am with jon, and one at yoga_activity#time with mother."
what is the address of the local hospital? hospital#poi is at 214 el camino real. thank you!,you are welcome
is there a philz here?,i'm sorry but there isn't any philz nearby. may i help you somehow else?
what is the time and date of my doctors appointment?,"you have 3 appointments in your calendar. one on doctor_appointment#date at 10am, one on wednesday at 10am, and one on the 9th at 1pm."
what shopping centers are around? shopping_center#poi is the only shopping center. ok find me the shortest distance and give me the address please. the address is 383 university ave and the location is Stanford_Express_Care#distance away. thank you!,you're welcome! should we navigate there now?
where is there a pizza place near me?,pizza my heart is Pizza_My_Heart#distance away but a car collision is being reported.
"will it be warm in new york today and tomorrow? today and tomorrow in new york will be warm the lows will be 50f and 60f, the highs will be in the 70s thanks.",anytime.
"what is today's weather forecast what city would you like the forecast for? durham today's forecast says durham is humid, the low temp is 60f and the high is 80f perfect, thanks.","you're welcome, glad i could help."
where is the nearest rest stop?,nearest rest stop is Travelers_Lodge#distance away.
"please give me directions to the nearest starbucks there are no starbucks nearby but we're 2 miles away for the coffe teavana and just Philz#distance away from philz let's go at philz, just pick the fastest route with Four_Seasons#traffic_info and send the address on the screen, thanks!","i sent the info on your screen, you should arrive in less than 2 minutes"
what is the weather like in new york this week,what days are you interested in the weather for?
what's the highest temperature going to be in grand rapids tomorrow?,it will be 60f in grand rapids tomorrow.
how many hotels are around here there are two hotels around here. one is 2 miles away the other is Midtown_Shopping_Center#distance away. neither route has any traffic pick the one Teavana#distance away and let's go through the fastest route,here are directions to rest_stop#poi.
will the weather be cloudy next week,what city do you want to know if it will be cloudy in?
what is the weather like today and tomorrow what city do you want to know the weather for? is the weather overcast in seattle today?,today's forecast calls for clear skies in seattle.
what's the forecast for the weather today what city are you wanting to know the weather for? i want to know chicago's weather.,"today in chicago the weather is forecast predicts snow, with a low of 90f and a high of 100f."
"give me directions to a coffee place navigating to coffee_or_tea_place#poi. please pick the fastest route and bring me there, thank you!",i only have one listed and it's got 5672_barringer_street#traffic_info. do you still want to go there?
"please give the address and directions via the fastest route to a hospital.  we're Stanford_Express_Care#distance away from stanford express care, it's at 214 el camino real sounds good. let's go there. thank you.",you're welcome!
please add my optometrist appointment to my schedule for august 3rd.,"okay great, what time would you like to set it for?"
"where's the nearest shopping mall the shopping_center#poi is located 1 mile away. would you like directions there? yes sounds great.  its address is 383 university ave, there is Town_and_Country#traffic_info on the route and i already sent the quickest one on your screen ok, please give me directions via the fastest available route.",the current route is the fastest one available.
"remind me about dinner at 6 pm with my brother setting a 6 pm dinner reminder with your brother, for what date? the 10th.","okay, setting a dinner reminder for this week at 6 pm with your brother."
"give me directions to a coffee shop there is a coffee shop, coffee_or_tea_place#poi,  1 mile away ok, please give me an address and directions via a route that avoids all toms_house#traffic_info.",i will begin turn by turn directions now.
"im heading home, what is the address and find me the quickest route with Midtown_Shopping_Center#traffic_info the quickest route home is Cafe_Venetia#distance away at 56 cadwell street.  sounds great, how's the traffic?",there is toms_house#traffic_info noted on the route.
give me this week's high temperature what city do you want the weather for? give me the temperature in downtown chicago for the week.,"in chicago, it will be 90-100f monday, wednesday, and friday.  on tuesday and thursday it will be 60-80f, saturday will be 30-40f, and cleveland#sunday will be 70-80f."
please tell me what time my yoga activity is and who will be attending.   your upcoming yoga activity is at 4pm with doctor_appointment#party.  thank you.,you're welcome
find my home address for me around here in this area.,your home is at home#address.
"please add my optometrist appointment to my schedule for august 3rd. okay great, what time would you like to set it for? please set it for 4pm.",i've set the appointment for you
i need to find a gas station that fast to get to.,there is a gas_station#poi near.
"where can i get coffee the teavana is Teavana#distance away, and there is currently no traffic. would you like directions there? yes, please pick a quick route to go there and send it on my screen!","i sent all the directions on your screen, drive carefully!"
start listening what will be the weather for the week,what city are you asking about?
add my dentist appointment to the calendar,"i will add it, what date and time would you like?"
what will the weather be like tomorrow what location do you need information about? what is the highest temperature in brentwood tomorrow?,"the highest temperature in brentwood will be high of 80f tomorrow, fresno#monday."
"show me directions to the nearest mall the nearest mall is shopping_center#poi. please send me its address on screen and pick the fastest route for me shopping_center#poi is at 383 university ave. set the gps, thank you.",you're welcome and gps set.
"what the nearest gas station by me? the nearest  gas station is gas_station#poi at 783 arcadia pl ok, please direct me there via the quickest route.  setting navigation to the gas_station#poi now.  should i expect any traffic? there is Stanford_Express_Care#traffic_info expected on this route. this is the only gas station i can find at this time. that's ok, thank you.",you are welcome driver!
show me nearby parking parking_garage#poi is 1 mile away at 880 ames ct but a road block is noted nearby.  can you find the quickest route to get there?,"i found another route, i sent it on your screen, drive carefully!"
"is it going to be raining this weekend what city should i check for rain this weekend in? los angeles, thank you! in los angeles it will be cloudy on saturday and it might snow on seattle#sunday, no rain thank you car!",you're welcome!
find me parking garages,we are Webster_Garage#distance away from webster garage: do you want me to send you the coordinates?
where's the nearest place to get lunch there is a panda express Panda_Express#distance away on 842 arrowhead way could you please show me a quick route to get there?,i have sent the route to your screen.
set an appointment for swimming,what date would you like that appointment set for?
tell me if it will be cloudy in menlo park tomorrow it will be cloudy in menlo park tomorrow. thanks.,you're welcome
check to see if there will be rain today or tomorrow in alameda,there will be a drizzle today in alameda.
"car i need a parking garage in the area, pick a quick route too the parking_garage#poi is near. will i be able to get there quick?","there is Round_Table#traffic_info on our way but the place it's just 2 miles away, i will find another route for you"
what is the weather forecast in the city which city are you asking about? i'm going to corona what day are you wanting the forecast for corona? i need the forecast for the whole week if possible. corona is going to be fairly cold at the beginning of the week with a blizzard in the forecast and rain. the end of the week looks stormy but warmer.  thanks so much for the information.,you're welcome. have a great day.
"what time is my swimming lessons this afternoon your swimming lessons are at 3pm today. excellent, thanks.",no problem.
"where is a rest stop within 5 miles? there is a four seasons and a rest_stop#poi near. which can i get to that has the least amount of traffic? comfort inn is 6 miles away and has Midtown_Shopping_Center#traffic_info. so seems like our best option.  ya, i agree car, please set the gps to go there, thank you!",you're welcome; drive safely.
i feel like some coffee where's the nearest place we're Peets_Coffee#distance away from peets coffee	 are they any closer options?,no coffee_or_tea_place#poi is the only option.
"is it going to snow next week where should i check for snow? cleveland, please",inglewood#sunday it will snow on cleveland
what is the forecast for this week what city are you seeking information for? san francisco. any particular details you are interested in? will it be raining? it will only rain on new_york#sunday in san francisco next week. thank you.,you are welcome.
"what day and time is my lab appointment? your lab appointment is on lab_appointment#date at 7pm. tom will also be there. great, thank you so much!",no problem
take me to the nearest chinese restaurant there are jing jing 4 miles away and panda express 6 miles away: since there is The_Clement_Hotel#traffic_info on the route to panda express i vote for its chicken with orange and shrimps with nuts. what is the address of chinese_restaurant#poi.,chinese_restaurant#poi is at 113 arbol dr.
what's the weather forecast what city can i give you the weather forecast for? find out if it is going to rain on san_jose#friday in cleveland please.  the forecast shows clear skies in cleveland on san_jose#friday. thanks.,you're welcome!
"show the route to my friend's house i don't see your friend's house nearby, but your house is Stanford_Childrens_Health#distance away. would you like to go there? mmm, yes, i'll give them a call from home, please show me the fastest route to go back, thank you! the fastest route is 56 caldwell street with home#traffic_info. we should be there soon.  thank you car!",you're welcome; drive carefully.
what is my address? your address is home#address. thanks!,anytime!
"please show me the weekly weather report what city do you want the weather for? i need the weather for compton. it will be 90-100f monday, 40-60f tuesday, 70-80f wednesday, 80-90f thursday, 40-60f friday, 60-80f saturday, and 30-40f compton#sunday. thanks.",you are welcome.
what's the seven day forecast for new york city,"new york's weekly forecast is scattered being warm, hot, and clear skies. the lows are in the 30s while the highs are up to 90f."
will it be hot in brentwood on san_mateo#wednesday?,"no, on san_mateo#wednesday it will be foggy in brentwood"
please make an appointment on tuesday for me to see the doctor,"setting a reminder on tuesday as an appointment to see the doctor, what time should i set this?"
take me to a place where i can get something to eat pizza_restaurant#poi serves pizza nearby. can you get me the fastest route there?,setting fastest route to round table which has Trader_Joes#traffic_info.
check the weather for chances of snow which city are you wanting information about? seattle.,it will not snow in seattle this week.
what will the temperature be for the next week,where would you like to hear the temperature from?
"will there be drizzle in oakland on los_angeles#sunday? no, on los_angeles#sunday the weather forecast calls for hail in oakland thank you.",you are welcome.
set a reminder for yoga activity at 5 pm on thursday with mother.,setting reminder for yoga activity at 5 pm thursday with mother.
"where can i find a rest stop? we're Travelers_Lodge#distance away from travelers lodge but there is heavy traffic on our way is there any other options? no, there is not. what is the address? rest_stop#poi is at 333 arbol dr. want me to set the gps? set gps for the quickest route please.",gps set for quickest route to rest_stop#poi.
"get me directions to the nearest chinese restaurant the nearest one is tai pan, tai_pan#distance away from our position i would have preferred something within Topanga_Mall#distance but patience.. can you show me the shortest distance to go there?","yes, there is tai_pan#traffic_info, so it should be quick. i will display the directions now."
find out if it's supposed to rain where would you like to know about the forecast for rain? i'm interested in fresno. there is no rain in the forecast.  thank you,you are welcome.
will it be hail in cleveland on cleveland#sunday?,there will not be hail in cleveland on cleveland#sunday.
"what's the weather like on my drive today what city will you be taking your drive in? i want to know if it will be humid in manhattan today. today's forecast is not showing that it is humid in manhattan. okay, thank you",glad to help
what is the forecast for today's weather,what city are you inquiring about?
how hot is it going to be this week what city would you like weather information for? i need to know if it is going to be hot in exeter this week. this week in exeter the temperatures do not show that it will be hot. the warmest day of the week will be cleveland#sunday with highs in the 80f thanks,you are welcome.
which days will be cloudy this week which city would you like the cloudy day forecast for this week? camarillo,in camarillo it's gonna be hail on thursday and it will rain on carson#sunday
confirm meeting your meeting is set for meeting#date at 3 pm with the executive team in conference room 100. okay that is good.,happy to help
find me a local hotel in my area.,hotel keen and rest_stop#poi	 are near.
"tomorrow's forecast what city can i tell you tomorrows forecast for? i need the forecast in alhambra for tomorrow please.  tomorrow it will be overcast in alhambra, with low of 30f, and high of 40f thank you car!",you're welcome!
where is a rest stop within 5 miles? there is a four seasons and a rest_stop#poi near. which can i get to that has the least amount of traffic?,comfort inn is 6 miles away and has Midtown_Shopping_Center#traffic_info. so seems like our best option.
what time is my next yoga activity and who will be attending?,your next yoga activity is with swimming_activity#party at 7pm.
"can you tell me if carson is going to be cloudy this weekend? the forecast calls for mist on downtown_chicago#saturday in carson.  thank you.  you are welcome. that is all for now, thanks.",have a great day.
"give me directions to a coffee shop there is a coffee shop, coffee_or_tea_place#poi,  1 mile away ok, please give me an address and directions via a route that avoids all toms_house#traffic_info.  i will begin turn by turn directions now.  thanks can you give me the address please.  the addres for coffee_or_tea_place#poi is 145 amherst st. let's go there, thank you car!",you're welcome!
"please get me to a gas station asap.  gas_station#poi is the closest gas station at 783 arcadia pl give me the quickest route there.  setting navigation to 783 arcadia pl now. there is a Hotel_Keen#traffic_info, so be careful.  thank you car!",you're welcome!
"where is the closest place to eat you can pick between the pizzeria pizza my heart and the chinese restaurant p.f. changs, they're both Pizza_My_Heart#distance away i think i want pizza tonight, can you give me directions? pizza_restaurant#poi is located at 528 anton ct give me the quickest route please.  here is the quickest route to pizza_restaurant#poi. thank you!",you're welcome!
will it be stormy this weekend in cleveland?,it's supposed to hail on saturday and cloudy on carson#sunday in cleveland.
"car i wanna eat at some chinese restaurant: please pick a route with least traffic, better if there will be Four_Seasons#traffic_info at all chinese_restaurant#poi is 1 mile away. what is the address?",chinese_restaurant#poi is located at 830 almanor lane
is the weather cloudy right now,what location do you want to know if it's cloudy?
"car i'd like to have some coffee, please show me the closest cafe","the nearest is coffee_or_tea_place#poi, 1 mile away, at 583 alester ave. would you like directions there?"
is it foggy in exeter today,it is not foggy in exeter today.
"car i'd like to have some coffee, please show me the closest cafe the nearest is coffee_or_tea_place#poi, 1 mile away, at 583 alester ave. would you like directions there? yes, please, just pick the quickest route! unfortunately there is a Philz#traffic_info, we will have to take another route, i updated your map thank you car, let's go!","gps set, have a great day."
what is my adress? you live at home#address. thanks!,goodbye.
check today's forecast for rain,where would you like to hear the forecast from?
"will it be foggy in seattle today and tomorrow? no, the weather in seattle will be drizzle today and dry tomorrow thank you car! there is no fog in the forecast for seattle today and tomorrow.  alright, thanks",you are very welcome
navigate me to the nearest hotel there is no hotel listed that is near you.  i need a rest stop that is quick and near me.,the closest rest stop is rest_stop#poi.
"i have to go grocery shopping can you give me directions to the nearest grocery store the nearest grocery store is grocery_store#poi. would you like directions?  yes please.  grocery_store#poi is located at 409 bollard st.  is there any traffic? there is a Hacienda_Market#traffic_info but we're just 3 miles away, it shouldn't take too long to reach thanks.",you're welcome!
will it be stormy in carson on alameda#sunday? it will not be stormy in carson on alameda#sunday. thanks.,you are welcome.
"what are the directions to the mall there is town and country Palo_Alto_Medical_Foundation#distance away: would you like to go there? yes, please. navigating to shopping_center#poi. give me the address.",shopping_center#poi is located at 383 university avenue.
remind me of my yoga activity with marie. what time is your yoga activity with marie? it is going to be at 1pm on august 22nd. ok i will set it for 1 pm on august 22and. thanks!,no problem
what is today's forecast what city do you want the weather forecast for? will it rain in compton?,it will rain on los_angeles#saturday in compton.
tomorrow's forecast,what city can i tell you tomorrows forecast for?
what time is my appointment today which appointment are you referring to? my lab appointment,it is at 1pm on dentist#date
what date is my optometrist appointment and what parties are attending?,"you have three optometrist appointments scheduled; one on the 18th with jeff, one on the 1st and 20th with optometrist_appointment#party."
"does the local forecasts say it'll be cloudy in which city do you want to know if it's going to be cloudy? compton, it it gonna be cloudy on menlo_park#monday? no, it will not be cloudy in compton on menlo_park#monday. thanks.",you're welcome!
is it going to be raining this weekend,what city would you like me to check to see if it's raining this weekend?
find a chinese take-out spot near my location.,"there is chinese_restaurant#poi, panda express, and p.f. changs."
"what's the weather forecast in new york new york is forecasted to be windy with a low of 60f and a high of 80f. okay, will it be humid in new york next week?",it will not be humid in new york next week.
find me the closest fast food place that serves chinese,"the nearest chinese restaurant is mandarin roots at 271 springer street, Mandarin_Roots#distance away."
"what day and time is tennis? tennis is set on tennis_activity#date at 7 pm with your aunt.  cool, thanks.",glad to help
find me the closest coffee shop on the map the closest coffee shop is coffee_or_tea_place#poi which is located on 394 van ness ave. how is the traffic? i need to a route with Stanford_Express_Care#traffic_info if possible.,"unfortunately there is moderate traffic but the place is just Coupa#distance away, it won't take too long to reach"
what is the date of the next time i need to take medicine and who will be attending?,you are scheduled to take medicine on taking_medicine#date with alex.
where do i live?,your home address is home#address.
"set a reminder for my conference with management later this week at 11 am. okay, i have that reminder set for you. anything else? great. no, thank you!",happy to help
what date is my optometrist appointment on and who will be attending?,your optometrist appointment is on yoga_activity#date with jon.
"car i need to rest in a hotel, please send me the quickest option available the quickest hotel is hotel keen and is Hotel_Keen#distance away. do you want the address? yes sounds great.  rest_stop#poi is at 578 arbol dr. thanks. let's navigate there now.",you are welcome
"show directions for the nearest grocery store the nearest grocery store is at Whole_Foods#addressreet. perfect, give me the address. the address of grocery_store#poi is 819 alma st.  would you like me to set the gps? yes, please, pick the fastest route to go there and show me the info on man, thank you!","i sent the fastest route on your map, drive carefully! you're welcome"
"give me directions to the closest grocery store we're Safeway#distance away from safeway but there is heavy traffic in this moment: do i set the gps to go there? pick a quick route and let's go there, thank you car! navigating to grocery_store#poi. sounds great.","have a great day, we should be there shortly."
"get me directions to a local cafe there are 3 local cafe would you like the closest one? please give me the address and directions to the coffee shop closest to me.  the closest is peets coffee, Peets_Coffee#distance away, at 9981 archuleta ave. please pick the route with the shortest distance and let's go there! setting navigation to coffee_or_tea_place#poi now.  thank you car!",you're welcome!
how's the weather in new york the weather in new york is frosty which one is gonna be the lowest temperature in new york during the next week? both tuesday and danville#sunday are showing low temperatures in the 20fs in new york this week. thank you!,you're welcome!
"where is the nearest parking garage? dish parking is the nearest parking garage at 550 alester ave, it is Dish_Parking#distance away and there is a road block nearby great thank you you are welcome driver no response needed here",happy to help
what time is my optaking_medicine#partyetrist appointment and who is attending? you have two optaking_medicine#partyetrist appointments scheduled. one at 2pm with marie and the other is also at 2opm but with martha. would you like to know the dates? no i am fine. thanks.,you are welcome
let me know if there will be snow and ice in the next week's forecast,what location do you want the weather for?
"can you schedule a reminder for my football activity at 7pm the 8th, with martha?",reminder for football on the 8th at 7pm with martha is set.
"what time is my next dinner and who will be attending it? i have two, which one? one with mother on the 16th or one with aunt on dinner#date? the one on dinner#date. thanks.",the dinner on dinner#date is scheduled for 7pm.
where do i live?,your home is at home#address.
what is the forecast for today and tomorrow,what city do you want the forecast for?
"are there clear skies in grand rapids now? there is dew in grand rapids right now.  okay, thanks",you are very welcome
"can i get the two day weather report what city would you like to hear the two day weather report from? new york, will it be humid? yes, today's forecast states that it is humid in new york. thank you",you're welcome!
please give me an address and directions via the quickest route to a parking garage near me.,the parking garage closest is parking_garage#poi at 550 alester ave. shall i set directions there?
"find me a tea house we're Starbucks#distance away from starbucks: do you want me to highlight its position on the map? yes, give me the address.","the address is 792 bedoin street, i sent it on your map. there is Starbucks#traffic_info and you should be able to reach there in few minutes"
is there a nearby rest stop? rest_stop#poi and the westin are both nearby. which has the least amount of traffic at the moment. they both have none. what is the address for keen?,"578 arbol dr, we're Whole_Foods#distance away from it. set the navigation there?"
"find a gas station that is not farther than 3 miles away. i have a gas_station#poi gas station 1 mile away. ok, where is it and i need a quick route there. gas_station#poi is located at 53 university av. give me the directions there with the quickest route","okay, heading to gas_station#poi"
"need directions to the nearest hotel the nearest hotel is the clement hotel, Stanford_Shopping_Center#distance away.  would you like the address? yes please, with the quickest route.",the clement hotel is Stanford_Shopping_Center#distance away at 657 ames avenue.
will it rain next week,what city are you interested in?
bring me to the nearest grocery store there are safeway Safeway#distance away and trader joes 6 miles away: where do you prefer to go? give me the address to grocery_store#poi.,the address to grocery_store#poi is 452 arcadia pl.
"is there a parking garage around? we are jacks_house#distance away from palo alto garage r, would you like to set the gps to get there? yes, please set a quick route to go there, thank you!",it's located at Palo_Alto_Garage_R#address and the gps is set.
what date is my yoga activity and who is attending?,"i have two driver, one on tuesday with alex, and one on yoga_activity#date with marie, which one?"
"remind me about my doctor appointment at 9 am today, my sister is coming. setting a reminder for your doctor's appointment with your sister at 9 am today. thank you.",you are welcome.
"what people have sent an rsvp or responded for the party so far? what time will the party begin? what activities are on the agenda for the party? you do not have any parties on your schedule. what time is my conference, who is attending, and what is the agenda?",you have two conferences scheduled. one is saturday at 3pm with the sales team to go over the quarterly report. the other is on the 5th at dinner#time with the sales team to discuss the merger.
"take me to a place where i can get some hot tea there is a peets coffee and a coffee_or_tea_place#poi close by. which one is the fastest to reach? both are Town_and_Country#distance away and neither have traffic let's try coffee_or_tea_place#poi then, map a route and let's go there.",i sent to your screen a route with jacks_house#traffic_info: drive carefully!
"will it be stormy in grand rapids during the week? it is predicted to be stormy in grand rapids on fresno#tuesday. alright, thank you",you are welcome.
"who is going to my opdentist_appointment#partyetrist appointment and what time is it? you have three optometrist appointments. one on optometrist_appointment#date at 1pm with your aunt, another on the 13th at 5pm with alex, and the last is on thursday at 10am with marie. thanks.",you're welcome
"please give me the address and directions via the quickest route to the nearest gas station.  the valero and shell are both 3 miles away, but there is a Stanford_Express_Care#traffic_info. do you prefer one one? let's try to go to gas_station#poi. okay, there is moderate traffic on the route to gas_station#poi. you will find it at 53 university av ok car assitant, plot the quickest route to gas_station#poi. setting navigation to gas_station#poi now.  thank you car assistant",you are welcome driver!
what date and time is my football activity?,your football activity is on football_activity#date at 10 am
"what is the forecast in my city what city do you want the weather for? inglewood, what's the weekly weather looking like? there is a wide range of conditions for inglewood next week, from 40-100f and snow to hot.  are there any particular details you would like? when is it expected to snow? it is expected to snow on inglewood#wednesday in inglewood. thanks.",no problem!
"take me to the nearest cafe the nearest cafe is teavana, it's at 145 amherst st, Palo_Alto_Garage_R#distance away is there any traffic on the way?","yes heavy traffic, i have another one that is Cafe_Venetia#distance away with no traffic. do you want the address to it?"
will the weather be hail in alhambra during the next seven days? there shouldn't be any hail during the next seven days in alhambra thank you.,you're welcome.
"can you give me directions to the nearest hotel rest_stop#poi is at 329 el camino real. thank you, please pick a route with Chevron#traffic_info and let's go there! going to rest_stop#poi. thank you!",you're welcome. glad i could help.
what people have sent an rsvp or responded for the party so far? what time will the party begin? what activities are on the agenda for the party?,you do not have any parties on your schedule.
"where is my conference, what is it about, and what day is it. you have a conference on lab_appointment#date and a conference on the 8th.  both are in conference room 100 and are to discuss the merger. thanks!",glad i can assist you.
is it raining today,what city would you like me to find out if it is raining in?
show me what time i need to take my pills,you need to take your medicine at doctor_appointment#time.
what time is my dentist appointment and who is going?,"i have you set for two. one is at 2pm with jon, and one at tennis_activity#time with ana"
i need the address to a parking garage.  there is palo alto garage r Palo_Alto_Garage_R#distance away at 481 amaranta ave how's the traffic? unfortunately there is a Cafe_Venetia#traffic_info oh no will i guess we will get there eventually. let's get started. thanks.,"i sent the directions on your screen, you're welcome!"
is there any rain in the local forecast,what city do you want the rain forecast for?
"is it gonna rain during the next week in boston? no, it's not gonna rain in boston during the next week thank you!",you are welcome!
"what's the temperature going to be like this week what city are you inquiring about? san francisco. the temperature in san francisco this week will be: low of 90 and a high of 100f on monday, low of 40 and a high of 60f on tuesday, low of 40 and a high of 50f on wednesday, low of 70f and a high of 90f on thursday, low of 20f and a high of 40f on friday, low of 40 and a high of 60f on saturday, and a low of 20 and a high of 30f on manhattan#sunday. wow, thank you.",my pleasure.
find route to the hospital,navigating you to stanford children's health.
local chinese restaurant is needed pronto. chinese_restaurant#poi is a chinese restaurant located 1 mile away. what's the address?,271 springer street is the address for chinese_restaurant#poi.
"where can i go shopping? stanford shopping center is Stanford_Shopping_Center#distance away. is that the closest shopping center to my location? yes, shopping_center#poi is the closest. what is the address?",stanford shopping center is Stanford_Shopping_Center#distance away at 773 alger dr. please note there is a road block reported nearby.
"i need a grocery store near me, with Willows_Market#traffic_info.",there is willows market Willows_Market#distance away and the road should be free from cars: is it good for you?
is it cloudy in the next 7 days,where are you located?
"what time and date is my dentist appointment? you have a dentist appointment on dentist_appointment#date, 10th, and 6th. for which one are you asking about? the one on dentist_appointment#date.",the appointment on the 3rd is at football_activity#time.
"check the weather for today what location are you wanting to know the weather for? i wanting to know if it will rain in grand rapids today it will not rain in grand rapids today. okay, thank you!",you're welcome.
"take me to the nearest starbucks i am unable to locate starbucks. however there are two coffee or tea place nearby, cafe venetia and coffee_or_tea_place#poi what is the address of coffee_or_tea_place#poi? coffee_or_tea_place#poi is at 583 alester ave. which of the two are closest?","cafe venetia is the closest, it's 3 miles away with Philz#traffic_info on the route. set the gps to to there?"
"is it going to rain sometime this week what city are you inquiring about? redwood city, please.",it will drizzle on wednesday and exeter#thursday in redwood city.
tell me the weather report for grand_rapids#tuesday in san mateo,it will snow in san mateo on grand_rapids#tuesday.
"i need a grocery store near me, with Willows_Market#traffic_info.",there is willows market Willows_Market#distance away and the road should be free from cars: is it good for you?
where can i get chinese food?,tai pan is tai_pan#distance away.
"in which day do i have doctor's appointment doctor's appointment is on doctor_appointment#date at 7pm thanks you are most welcome thank you.  you are welcome.  thanks, bye.",bye
find the address to my home in the local area. your home is at home#address. ok thanks set the gps there please. gps set for home#address. thanks.,you're welcome!
please schedule a reminder for my doctor appointment at 11am on august 3rd with alex.,i am scheduling a doctor appointment on august 3rd at 11 am with alex.
how is the weather this week in inglewood?,what days are you interested in?
"car i need a parking garage in the area, please find something for me the closest parking garage is Palo_Alto_Garage_R#distance away and the name of it is palo alto garage r. send me the address now. its address is Palo_Alto_Garage_R#address plot the quickest route to palo alto garage with details",unfortunately there is a Palo_Alto_Garage_R#traffic_info but i sent on your screen another road that should allow you to reach the garage fast enough
what grocery stores are here? there is a safeway Safeway#distance away. what is the address?,grocery_store#poi is at 452 arcadia pl.
what's the weather like what city are you in? will it be foggy in alameda on carson#saturday?,the weather forecast does not show that it will be foggy in alameda this carson#sunday
"where and on what day is my meeting, and what is the agenda? you currently have 3 meetings scheduled. the first is on tuesday in conference room 10 to dicu the company picnic. the second i on meeting#date in 100 conference room to go over the budget. the last is on the 8th in conference room 100 to discuss the dress code. thanks",you are welcome.
will it be dry in durham on fresno#sunday?,"it should rain in durham on fresno#sunday, it will not be dry"
where can i eat pizza?,pizza my heart serves pizza and is Pizza_My_Heart#distance away.
is it foggy in exeter today,it is not foggy in exeter today.
what time is my next workout?,your next workout is a football activity on conference#date at 1pm
what is the date and time of my optometrist appointment? you have two optometrist appointments scheduled; one on the 2nd at 9 am and one on optometrist_appointment#date at 10 am.  that is all.,happy to help.
